Image Name,Height,Width,Ratio
contempt/images - 2020-11-06T181827.679_face.png,7.018,37.014,5.274
contempt/images - 2020-11-06T181831.387_face.png,7.566,38.639,5.107
contempt/images - 2020-11-06T181833.034_face.png,4.5,33.0,7.333
contempt/images - 2020-11-06T181835.245_face.png,9.055,38.328,4.233
contempt/images - 2020-11-06T181836.199_face.png,7.071,40.112,5.673
contempt/images - 2020-11-06T181837.188_face.png,9.0,38.053,4.228
contempt/images - 2020-11-06T181852.211_face.png,8.016,41.0,5.115
contempt/images - 2020-11-06T181856.719_face.png,8.016,36.056,4.498
contempt/images - 2020-11-06T181857.889_face.png,6.185,34.132,5.519
contempt/images - 2020-11-06T181859.123_face.png,13.0,45.0,3.462
contempt/images - 2020-11-06T181906.926_face.png,7.5,35.0,4.667
contempt/images - 2020-11-06T181908.437_face.png,7.566,40.112,5.301
contempt/images - 2020-11-06T182428.828_face.png,6.083,36.056,5.927
contempt/images - 2020-11-06T182437.748_face.png,9.341,36.674,3.926
contempt/images - 2020-11-06T182438.750_face.png,9.552,36.056,3.774
contempt/images - 2020-11-06T182443.760_face.png,9.014,35.341,3.921
contempt/images - 2020-11-06T182457.182_face.png,8.631,34.059,3.946
contempt/images - 2020-11-06T182503.531_face.png,6.519,41.11,6.306
contempt/images - 2020-11-06T182509.239_face.png,10.44,36.878,3.532
contempt/images - 2020-11-06T182533.082_face.png,7.0,39.051,5.579
contempt/images - 2020-11-06T182543.574_face.png,10.5,36.014,3.43
contempt/images - 2020-11-06T182555.166_face.png,10.5,45.011,4.287
contempt/images - 2020-11-06T182556.841_face.png,9.618,37.336,3.882
contempt/images - 2020-11-06T182615.689_face.png,8.016,35.014,4.368
contempt/images - 2020-11-06T182624.770_face.png,10.05,39.115,3.892
contempt/images - 2020-11-06T182658.978_face.png,6.519,36.688,5.628
contempt/images - 2020-11-06T182702.649_face.png,14.534,46.011,3.166
contempt/images - 2020-11-06T182719.601_face.png,10.548,44.011,4.173
contempt/images - 2020-11-06T182720.046_face.png,14.142,44.102,3.118
contempt/images - 2020-11-06T182737.983_face.png,6.0,39.0,6.5
contempt/images - 2020-11-06T182740.392_face.png,8.062,36.014,4.467
contempt/images - 2020-11-06T182756.894_face.png,10.512,47.0,4.471
contempt/images - 2020-11-06T183125.424_face.png,5.852,35.693,6.099
contempt/images - 2020-11-06T183127.451_face.png,10.548,37.054,3.513
contempt/images - 2020-11-06T183149.326_face.png,10.44,41.11,3.938
contempt/images - 2020-11-06T183153.460_face.png,7.159,34.234,4.782
contempt/images - 2020-11-06T183206.240_face.png,10.548,41.049,3.892
contempt/images - 2020-11-06T183207.814_face.png,5.5,40.0,7.273
contempt/images - 2020-11-06T183228.780_face.png,6.185,39.319,6.358
contempt/images - 2020-11-06T183229.308_face.png,8.0,35.0,4.375
contempt/images - 2020-11-06T183233.289_face.png,10.548,27.074,2.567
contempt/images - 2020-11-06T183236.765_face.png,7.906,39.051,4.94
contempt/images - 2020-11-06T183255.132_face.png,11.543,37.054,3.21
contempt/images - 2020-11-06T183311.641_face.png,10.198,37.855,3.712
contempt/images - 2020-11-06T183332.239_face.png,4.0,41.049,10.262
contempt/images - 2020-11-06T183344.198_face.png,9.22,36.056,3.911
contempt/images - 2020-11-06T183357.138_face.png,12.5,44.045,3.524
contempt/images - 2020-11-06T183430.585_face.png,5.852,37.483,6.405
contempt/images - 2020-11-06T183437.469_face.png,8.631,22.361,2.591
contempt/images - 2020-11-06T183516.575_face.png,7.071,38.21,5.404
contempt/images - 2020-11-06T183534.391_face.png,9.014,39.051,4.332
contempt/images - 2020-11-06T183616.485_face.png,8.062,41.195,5.11
contempt/images - 2020-11-06T184339.596_face.png,8.631,41.304,4.785
contempt/images - 2020-11-06T184412.723_face.png,6.576,39.051,5.938
contempt/images - 2020-11-06T184525.565_face.png,10.05,30.265,3.012
contempt/images - 2020-11-06T185407.622_face.png,9.055,37.336,4.123
contempt/images - 2020-11-06T190137.201_face.png,10.0,39.051,3.905
contempt/images - 2020-11-06T192052.185_face.png,10.689,36.346,3.4
contempt/images - 2020-11-06T194324.190_face.png,9.055,37.121,4.099
contempt/images - 2020-11-06T194409.919_face.png,10.0,37.0,3.7
contempt/images - 2020-11-06T195253.066_face.png,7.649,40.311,5.27
contempt/images - 2020-11-06T202854.886_face.png,9.124,43.186,4.733
contempt/images - 2020-11-06T203019.210_face.png,8.078,37.656,4.662
contempt/images - 2020-11-06T203336.161_face.png,8.078,37.656,4.662
contempt/images - 2020-11-06T203758.202_face.png,12.54,37.014,2.952
contempt/images (48)_face.png,8.139,37.121,4.561
disgust/2Q__ (1)_face.png,9.124,37.054,4.061
disgust/2Q__ (2)_face.png,12.59,34.366,2.73
disgust/2Q__ (3)_face.png,6.519,40.05,6.143
disgust/2Q__ (6)_face.png,7.566,41.11,5.433
disgust/445720772_72a9048822_b_face.png,10.012,38.013,3.797
disgust/453048985_18d7c41e89_b_face.png,4.472,39.623,8.86
disgust/9k_ (1)_face.png,5.0,26.077,5.215
disgust/9k_ (6)_face.png,6.0,40.0,6.667
disgust/9k__face.png,10.198,43.29,4.245
disgust/Z (1)_face.png,10.5,38.013,3.62
disgust/Z (2)_face.png,11.011,37.054,3.365
disgust/Z (3)_face.png,1.803,37.121,20.591
disgust/Z (4)_face.png,4.123,36.014,8.735
disgust/Z (5)_face.png,7.0,38.0,5.429
disgust/Z (6)_face.png,1.0,33.136,33.136
disgust/images (14)_face.png,6.519,41.012,6.291
disgust/images (16)_face.png,13.509,42.0,3.109
disgust/images (19)_face.png,2.5,35.014,14.006
disgust/images (20)_face.png,14.577,40.112,2.752
disgust/images (23)_face.png,8.062,30.0,3.721
disgust/images (24)_face.png,11.673,41.593,3.563
disgust/images (32)_face.png,3.606,37.483,10.396
disgust/images (33)_face.png,11.011,31.064,2.821
disgust/images (40)_face.png,8.016,39.013,4.867
disgust/images (43)_face.png,3.5,32.249,9.214
disgust/images (48)_face.png,3.202,38.328,11.972
disgust/images (5)_face.png,10.512,36.014,3.426
disgust/images (50)_face.png,6.708,33.015,4.922
disgust/images (54)_face.png,9.055,42.048,4.643
disgust/images (55)_face.png,9.513,40.0,4.205
disgust/images (58)_face.png,4.743,38.471,8.11
disgust/images (7)_face.png,5.099,33.242,6.519
disgust/images (75)_face.png,5.0,32.0,6.4
disgust/images (92)_face.png,12.54,43.046,3.433
disgust/images (98)_face.png,2.062,39.0,18.918
disgust/images - 2020-11-05T231217.463_face.png,7.5,39.013,5.202
disgust/images - 2020-11-05T231217.714_face.png,3.808,37.014,9.72
